,sakarya,malatya,bursa,konya ,diyarbakir ,kocaeli,istanbul ,erzurum ,maras,tekirdag ,denizli 
2019-06-21,19,11,50,13,13,26,174,11,17,3,15
2019-06-22,21,7,32,18,15,23,217,16,13,3,15
2019-06-23,15,7,45,8,17,16,207,18,19,3,10
2019-06-24,14,21,34,8,,29,185,12,17,0,18
2019-06-25,15,8,50,17,,30,194,18,21,7,20
2019-06-26,15,6,38,10,23,29,201,14,18,3,24
2019-06-27,16,11,53,24,23,23,206,21,18,3,20
2019-06-28,8,7,42,20,20,20,194,13,13,5,21
2019-06-29,15,9,38,13,8,23,203,8,14,7,20
2019-06-30,21,8,25,12,18,13,180,16,16,3,20
2019-07-01,17,11,52,21,12,19,195,12,20,3,12
2019-07-02,20,9,44,14,17,27,200,12,23,2,13
2019-07-03,23,12,39,8,,33,215,15,16,12,18
2019-07-04,22,10,39,17,15,28,202,13,11,5,26
2019-07-05,21,7,52,21,14,23,167,16,11,5,20
2019-07-06,14,6,38,11,9,18,191,12,13,1,21
2019-07-07,14,6,41,14,11,24,178,13,11,6,31
2019-07-08,19,8,37,17,12,26,181,14,18,3,15
2019-07-09,21,10,44,15,17,23,169,12,27,4,32
2019-07-10,15,5,44,14,,17,206,12,11,5,22
2019-07-11,19,10,44,22,,20,172,5,13,5,14
2019-07-12,12,6,32,18,15,28,181,7,11,5,10
2019-07-13,17,6,33,12,12,24,182,14,12,3,17
2019-07-14,16,6,30,17,18,13,172,15,15,2,9
2019-07-15,16,7,30,8,13,15,191,10,15,3,17
2019-07-16,18,10,31,10,16,15,182,20,14,6,16
2019-07-17,12,10,33,13,,19,181,10,12,2,18
2019-07-18,13,11,34,12,16,18,188,6,15,1,11
2019-07-19,10,4,33,21,9,19,191,18,13,3,25
2019-07-20,18,10,41,15,15,27,184,15,20,5,13
2019-07-21,10,10,28,15,10,27,182,22,17,6,17
2019-07-22,15,6,42,7,13,23,203,16,20,7,22
2019-07-23,20,8,41,11,14,26,215,12,14,6,20
2019-07-24,19,8,32,17,19,16,181,13,21,2,17
2019-07-25,23,11,23,12,,21,171,13,8,3,20
2019-07-26,14,9,31,13,,29,198,9,14,4,20
2019-07-27,18,8,39,6,14,20,132,9,11,3,11
2019-07-28,16,12,32,15,17,18,210,19,15,3,15
2019-07-29,14,6,40,21,23,31,222,18,9,3,18
2019-07-30,19,12,47,14,16,23,189,17,14,2,18
2019-07-31,25,10,43,16,12,20,200,20,11,6,19
2019-08-01,18,9,41,11,18,24,201,12,14,3,17
2019-08-02,12,16,37,11,20,24,211,11,12,3,20
2019-08-03,19,10,40,14,24,18,181,10,20,3,16
2019-08-04,18,12,43,9,10,18,187,19,11,3,23
2019-08-05,10,11,33,11,13,31,197,12,18,4,23
2019-08-06,22,10,44,11,21,35,154,10,8,5,17
2019-08-07,20,9,30,12,,15,200,18,9,6,14
